,mass_range,intensity_range,time_range,prominence,left_bases_scan,right_bases_scan,peaks_m/z,peaks_intensity,number_of_points,peak_width,area
24,"[array([225.1315, 109.8016, 855.3932, 225.1147, 225.1125, 109.8014,
       225.1212, 854.7076, 225.1255, 225.1264, 225.1272, 225.1275,
       225.1281, 225.1293, 225.1283, 109.8014, 225.1302, 225.1235,
       109.8014, 854.7594, 225.1263, 225.1284, 225.1287, 225.1281,
       225.1286, 225.1278, 225.1276, 225.1306, 225.1307, 225.1311,
       109.8011, 225.1281, 225.1301, 225.1305, 225.1286, 225.1293,
       225.1288, 225.1304, 225.1298, 855.3942, 225.132 , 225.1305,
       225.1296, 225.1293, 854.6817, 225.128 , 225.1243, 109.801 ,
       225.1157, 225.1208, 225.1166, 225.1212, 225.1237, 225.1262,
       225.1254, 225.1252, 225.1269, 225.1278, 109.8011, 225.1268,
       225.1266, 225.1286, 207.0567, 207.0568])]","[array([5.3326870e+02, 7.4812710e+02, 5.4100200e+02, 7.4568800e+02,
       5.7997860e+02, 6.4670360e+02, 8.1475330e+02, 6.8278870e+02,
       7.8907880e+02, 8.4525930e+02, 8.3370740e+02, 7.7826350e+02,
       7.5675200e+02, 6.9820950e+02, 8.1555150e+02, 6.0482760e+02,
       6.4209300e+02, 6.7440900e+02, 6.3689010e+02, 6.3835020e+02,
       7.3748260e+02, 7.4467130e+02, 7.4917170e+02, 8.3749330e+02,
       6.3050820e+02, 8.3609250e+02, 8.6005200e+02, 6.5611210e+02,
       7.9714790e+02, 7.1926650e+02, 5.5620760e+02, 7.0334840e+02,
       7.6705430e+02, 6.7674840e+02, 7.1722670e+02, 5.9877060e+02,
       7.2811320e+02, 8.8556350e+02, 7.1775940e+02, 6.9047330e+02,
       8.5873010e+02, 7.5356740e+02, 8.1964580e+02, 7.4054100e+02,
       8.0990840e+02, 9.4303990e+02, 5.6508670e+02, 5.8331670e+02,
       8.4862600e+02, 6.1132300e+02, 8.3738070e+02, 7.8965890e+02,
       8.2871140e+02, 8.0363530e+02, 7.1450370e+02, 7.7497130e+02,
       7.3329820e+02, 6.7702310e+02, 6.5914260e+02, 6.8931380e+02,
       8.0903610e+02, 7.5242690e+02, 6.6838120e+06, 5.9721165e+06])]","[array([ 38.9311,  40.2882,  41.6392,  43.0008,  44.3471,  45.7028,
        47.0547,  48.4107,  49.7621,  51.1181,  52.4707,  53.832 ,
        55.1777,  56.5341,  57.8865,  59.2415,  60.594 ,  61.9491,
        63.301 ,  64.6631,  66.0088,  67.3654,  68.7174,  70.0724,
        71.4271,  72.7806,  74.132 ,  75.4948,  76.8406,  78.1957,
        79.5476,  80.9038,  82.2552,  83.6112,  84.9633,  86.3262,
        87.6707,  89.0276,  90.3786,  91.7345,  93.0874,  94.4427,
        95.7939,  97.1564,  98.5024,  99.8577, 101.21  , 102.566 ,
       103.917 , 105.273 , 106.625 , 107.986 , 109.333 , 110.69  ,
       112.04  , 113.397 , 114.748 , 116.104 , 117.456 , 118.817 ,
       120.165 , 121.52  , 122.872 , 123.762 ])]",1113004.5,29,93,207.0567,6683812.0,64,2.1665411609496914,9714821.46805
25,"[array([], dtype=float64)]","[array([], dtype=float64)]","[array([], dtype=float64)]",0.0,93,93,209.0722,5570807.5,0,0.0,0.0
26,"[array([225.1315, 109.8016, 855.3932, 225.1147, 225.1125, 109.8014,
       225.1212, 854.7076, 225.1255, 225.1264, 225.1272, 225.1275,
       225.1281, 225.1293, 225.1283, 109.8014, 225.1302, 225.1235,
       109.8014, 854.7594, 225.1263, 225.1284, 225.1287, 225.1281,
       225.1286, 225.1278, 225.1276, 225.1306, 225.1307, 225.1311,
       109.8011, 225.1281, 225.1301, 225.1305, 225.1286, 225.1293,
       225.1288, 225.1304, 225.1298, 855.3942, 225.132 , 225.1305,
       225.1296, 225.1293, 854.6817, 225.128 , 225.1243, 109.801 ,
       225.1157, 225.1208, 225.1166, 225.1212, 225.1237, 225.1262,
       225.1254, 225.1252, 225.1269, 225.1278, 109.8011, 225.1268,
       225.1266, 225.1286, 207.0567, 207.0568, 209.0722, 209.0725,
       100.0755, 100.0755])]","[array([5.3326870e+02, 7.4812710e+02, 5.4100200e+02, 7.4568800e+02,
       5.7997860e+02, 6.4670360e+02, 8.1475330e+02, 6.8278870e+02,
       7.8907880e+02, 8.4525930e+02, 8.3370740e+02, 7.7826350e+02,
       7.5675200e+02, 6.9820950e+02, 8.1555150e+02, 6.0482760e+02,
       6.4209300e+02, 6.7440900e+02, 6.3689010e+02, 6.3835020e+02,
       7.3748260e+02, 7.4467130e+02, 7.4917170e+02, 8.3749330e+02,
       6.3050820e+02, 8.3609250e+02, 8.6005200e+02, 6.5611210e+02,
       7.9714790e+02, 7.1926650e+02, 5.5620760e+02, 7.0334840e+02,
       7.6705430e+02, 6.7674840e+02, 7.1722670e+02, 5.9877060e+02,
       7.2811320e+02, 8.8556350e+02, 7.1775940e+02, 6.9047330e+02,
       8.5873010e+02, 7.5356740e+02, 8.1964580e+02, 7.4054100e+02,
       8.0990840e+02, 9.4303990e+02, 5.6508670e+02, 5.8331670e+02,
       8.4862600e+02, 6.1132300e+02, 8.3738070e+02, 7.8965890e+02,
       8.2871140e+02, 8.0363530e+02, 7.1450370e+02, 7.7497130e+02,
       7.3329820e+02, 6.7702310e+02, 6.5914260e+02, 6.8931380e+02,
       8.0903610e+02, 7.5242690e+02, 6.6838120e+06, 5.9721165e+06,
       5.5708075e+06, 5.6877765e+06, 6.8226025e+06, 7.5997480e+06])]","[array([ 38.9311,  40.2882,  41.6392,  43.0008,  44.3471,  45.7028,
        47.0547,  48.4107,  49.7621,  51.1181,  52.4707,  53.832 ,
        55.1777,  56.5341,  57.8865,  59.2415,  60.594 ,  61.9491,
        63.301 ,  64.6631,  66.0088,  67.3654,  68.7174,  70.0724,
        71.4271,  72.7806,  74.132 ,  75.4948,  76.8406,  78.1957,
        79.5476,  80.9038,  82.2552,  83.6112,  84.9633,  86.3262,
        87.6707,  89.0276,  90.3786,  91.7345,  93.0874,  94.4427,
        95.7939,  97.1564,  98.5024,  99.8577, 101.21  , 102.566 ,
       103.917 , 105.273 , 106.625 , 107.986 , 109.333 , 110.69  ,
       112.04  , 113.397 , 114.748 , 116.104 , 117.456 , 118.817 ,
       120.165 , 121.52  , 122.872 , 123.762 , 124.659 , 125.557 ,
       126.472 , 127.376 ])]",0.0,29,97,100.0754,7822354.0,68,0.0,34581940.21805
27,[array([100.0755])],[array([8292499.5])],[array([130.096])],0.0,99,100,100.0755,8770856.0,1,0.0,0.0
28,[array([100.0756])],[array([9638576.])],[array([132.837])],0.0,102,103,100.0756,9638576.0,1,0.0,0.0
29,"[array([225.1315, 109.8016, 855.3932, 225.1147, 225.1125, 109.8014,
       225.1212, 854.7076, 225.1255, 225.1264, 225.1272, 225.1275,
       225.1281, 225.1293, 225.1283, 109.8014, 225.1302, 225.1235,
       109.8014, 854.7594, 225.1263, 225.1284, 225.1287, 225.1281,
       225.1286, 225.1278, 225.1276, 225.1306, 225.1307, 225.1311,
       109.8011, 225.1281, 225.1301, 225.1305, 225.1286, 225.1293,
       225.1288, 225.1304, 225.1298, 855.3942, 225.132 , 225.1305,
       225.1296, 225.1293, 854.6817, 225.128 , 225.1243, 109.801 ,
       225.1157, 225.1208, 225.1166, 225.1212, 225.1237, 225.1262,
       225.1254, 225.1252, 225.1269, 225.1278, 109.8011, 225.1268,
       225.1266, 225.1286, 207.0567, 207.0568, 209.0722, 209.0725,
       100.0755, 100.0755, 100.0754, 100.0755, 100.0755, 100.0755,
       100.0755, 100.0756, 100.0755, 100.0755, 100.0755, 100.0755,
       100.0755])]","[array([5.3326870e+02, 7.4812710e+02, 5.4100200e+02, 7.4568800e+02,
       5.7997860e+02, 6.4670360e+02, 8.1475330e+02, 6.8278870e+02,
       7.8907880e+02, 8.4525930e+02, 8.3370740e+02, 7.7826350e+02,
       7.5675200e+02, 6.9820950e+02, 8.1555150e+02, 6.0482760e+02,
       6.4209300e+02, 6.7440900e+02, 6.3689010e+02, 6.3835020e+02,
       7.3748260e+02, 7.4467130e+02, 7.4917170e+02, 8.3749330e+02,
       6.3050820e+02, 8.3609250e+02, 8.6005200e+02, 6.5611210e+02,
       7.9714790e+02, 7.1926650e+02, 5.5620760e+02, 7.0334840e+02,
       7.6705430e+02, 6.7674840e+02, 7.1722670e+02, 5.9877060e+02,
       7.2811320e+02, 8.8556350e+02, 7.1775940e+02, 6.9047330e+02,
       8.5873010e+02, 7.5356740e+02, 8.1964580e+02, 7.4054100e+02,
       8.0990840e+02, 9.4303990e+02, 5.6508670e+02, 5.8331670e+02,
       8.4862600e+02, 6.1132300e+02, 8.3738070e+02, 7.8965890e+02,
       8.2871140e+02, 8.0363530e+02, 7.1450370e+02, 7.7497130e+02,
       7.3329820e+02, 6.7702310e+02, 6.5914260e+02, 6.8931380e+02,
       8.0903610e+02, 7.5242690e+02, 6.6838120e+06, 5.9721165e+06,
       5.5708075e+06, 5.6877765e+06, 6.8226025e+06, 7.5997480e+06,
       7.8223540e+06, 9.0270230e+06, 8.2924995e+06, 8.7708560e+06,
       1.0042427e+07, 9.6385760e+06, 9.1074270e+06, 1.0144793e+07,
       9.7983440e+06, 9.8274450e+06, 9.9193170e+06])]","[array([ 38.9311,  40.2882,  41.6392,  43.0008,  44.3471,  45.7028,
        47.0547,  48.4107,  49.7621,  51.1181,  52.4707,  53.832 ,
        55.1777,  56.5341,  57.8865,  59.2415,  60.594 ,  61.9491,
        63.301 ,  64.6631,  66.0088,  67.3654,  68.7174,  70.0724,
        71.4271,  72.7806,  74.132 ,  75.4948,  76.8406,  78.1957,
        79.5476,  80.9038,  82.2552,  83.6112,  84.9633,  86.3262,
        87.6707,  89.0276,  90.3786,  91.7345,  93.0874,  94.4427,
        95.7939,  97.1564,  98.5024,  99.8577, 101.21  , 102.566 ,
       103.917 , 105.273 , 106.625 , 107.986 , 109.333 , 110.69  ,
       112.04  , 113.397 , 114.748 , 116.104 , 117.456 , 118.817 ,
       120.165 , 121.52  , 122.872 , 123.762 , 124.659 , 125.557 ,
       126.472 , 127.376 , 128.284 , 129.197 , 130.096 , 131.019 ,
       131.939 , 132.837 , 133.75  , 134.675 , 135.58  , 136.49  ,
       137.403 ])]",689058.0,29,108,100.0755,10144793.0,79,4.664238079906227,135813217.21805
30,"[array([100.0755, 100.0755, 100.0755])]","[array([9798344., 9827445., 9919317.])]","[array([135.58 , 136.49 , 137.403])]",120973.0,105,108,100.0755,9919317.0,3,2.2609527548524255,19686275.5
31,"[array([], dtype=float64)]","[array([], dtype=float64)]","[array([], dtype=float64)]",0.0,113,113,100.0756,8635987.0,0,0.0,0.0
32,"[array([], dtype=float64)]","[array([], dtype=float64)]","[array([], dtype=float64)]",0.0,117,117,100.0756,7048005.0,0,0.0,0.0
33,"[array([], dtype=float64)]","[array([], dtype=float64)]","[array([], dtype=float64)]",0.0,121,121,100.0755,7557954.5,0,0.0,0.0
